message_id,EN,JP,VN
TOP_TEXT_1,,,
TOP_TEXT_2,recruit,採用情報,Tuyển dụng
TOP_TEXT_3,,,
TOP_TEXT_4,for student,新卒採用,Dành cho sinh viên mới tốt nghiệp
TOP_TEXT_5,,2015年に卒業（予定含）する学生も大募集！Webアプリケーションエンジニアとしてキャリアを積みたい方の応募をお待ちしてます。日本のスタイルで開発スキルやビジネススキルを磨いてみませんか。日本に興味があり一緒に成長できる学生を探しています！,"Tuyển dụng số lượng lớn sinh viên đã/sẽ tốt nghiệp năm 2015!
Chúng tôi chào đón những ứng viên tìm kiếm cơ hội việc làm kỹ sư lập trình ứng dụng Web. Bạn có muốn thử sức mình với các kỹ năng phát triển, kỹ năng kinh doanh theo phong cách Nhật Bản? Chúng tôi đang tìm kiếm các bạn sinh viên có hứng thú với đất nước Nhật Bản, cùng chúng tôi phát triển và trưởng thành!"
TOP_TEXT_6,,,
TOP_TEXT_7,for Chareer change,中途採用,Dành cho ứng viên có nhu cầu chuyển việc
TOP_TEXT_8,,日系の会社で仕事の進め方や文化を学びたい方、日本だけでなく世界に通用する技術を身に付けたい方、会社の設立メンバーとして幅広い経験を積み重ねたい方、将来リーダーやマネージャーとして活躍したい方の応募を待っています。,"Chúng tôi chào đón những ứng viên muốn phát triển sự nghiệp và học hỏi văn hoá tại doanh nghiệp Nhật Bản, ứng viên muốn tìm hiểu về các kỹ thuật không chỉ sử dụng tại Nhật Bản mà trên toàn thế giới, ứng viên muốn mở rộng kinh nghiệm của bản thân với tư cách là thành viên thiết lập công ty, ứng viên mong muốn hoạt động với tư cách nhà lãnh đạo, nhà quản lý tương lai."
TOP_TEXT_9,product,プロダクト,Sản phẩm
TOP_TEXT_10,,,
TOP_TEXT_11,,,
TOP_TEXT_12,,,
TOP_TEXT_13,album,アルバム,Album
COMPANY_TEXT_1,,,
COMPANY_TEXT_2,slogan,スローガン,Khẩu hiệu
COMPANY_TEXT_3,SURPRISING & MOVING EVERY HUMANG BEING,人類にオドロキと感動を！,SURPRISING & MOVING EVERY HUMANG BEING
COMPANY_TEXT_4,mission,ミッション,Nhiệm vụ
COMPANY_TEXT_5,Create the Future of Marketing,マーケティングの未来を作る,Create the Future of Marketing
COMPANY_TEXT_6,vision,ビジョン,Tầm nhìn
COMPANY_TEXT_7,Be the Marketing Venture that drives Marketing lnnovation,"マーケティングを変革する
マーケティングベンチャーであれ",Be the Marketing Venture that drives Marketing lnnovation
COMPANY_TEXT_8,,代表者メッセージ,Lời nhắn của Tổng Giám đốc
COMPANY_TEXT_9,,,
COMPANY_TEXT_10,,代表取締役社長,Tổng giám đốc
COMPANY_TEXT_11,Jotaro Sato,佐藤　譲太郎,Jotaro Sato
COMPANY_TEXT_12,,"ご挨拶

トライバルメディアハウスは、「マーケティングの未来をつくる」をミッションとするマーケティングベンチャーです。このDNAを受け継ぐTMH Tech.Labは、Technology x Marketingをテーマとして、日本および世界に通用するソリューションを提供していきます。

ベトナムと日本は、言語も文化も異なります。なにか問題があったときにすぐに駆けつけることもできません。しかし、国・文化・言語にとらわれることなく、また多様性を積極的に受け入れつつ、結束力のあるチームをつくること、これらは「人類にオドロキと感動を」届けるソリューション開発を目指す弊社にとって、もっとも大切なチームづくりの要素であり、なにがなんでも超えていきたい壁であると考えています。

TMH Tech. Labのチャレンジは、まだはじまったばかりですが、国境を超えたグローバルなチームで最高のソリューションを開発することに、全力で取り組んでいきます。","Xin chào,
Tribal Media House chúng tôi là công ty marketing venture với sứ mệnh ""Tạo dựng tương lai marketing"". Để tiếp nối sứ mệnh đó, TMH Tech. Lab được thành lập với chủ đề là Technology & Marketing, sẽ cung cấp các sản phẩm về giải pháp marketing ứng dụng tại Nhật Bản và trên thế giới.
Việt Nam và Nhật Bản là hai đất nước có hai nền văn hoá và ngôn ngữ khác nhau. Khi có vấn đề gì xảy ra, tôi nghĩ cũng khó có thể giải quyết nhanh chóng được. Tuy nhiên, ở đây tôi không đề cập đến sự khác nhau về đất nước, văn hoá và con người, đối với Công ty chúng tôi để đạt được mục tiêu phát triển các giải pháp ""Mang lại sự bất ngờ và cảm động cho nhân loại"", yếu tố quan trọng nhất chính là tích cực đa dạng hoá các hoạt động, tạo dựng đội ngũ nhân viên đoàn kết, đồng lòng vượt qua mọi thử thách cho dù đó là gì chăng nữa.
Tuy TMH Tech. Lab là công ty mới thành lập, sẽ gặp nhiều khó khăn thử thách nhưng chúng tôi sẽ dốc toàn lực để phát triển những giải pháp tối ưu bằng chính đội ngũ lập trình viên toàn cầu của mình, vượt qua mọi trở ngại về ngôn ngữ, văn hoá và vị trí địa lý giữa các quốc gia."
COMPANY_TEXT_13,company’s outline,会社概要,Khái quát về công ty
COMPANY_TEXT_14,company name,会社名,Tên công ty
COMPANY_TEXT_15,"Tribal Media House Technology Lab Co., Ltd.","Tribal Media House Technology Lab Co., Ltd.","Tribal Media House Technology Lab Co., Ltd."
COMPANY_TEXT_16,address,住所,Địa chỉ
COMPANY_TEXT_17,"Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam.","Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam.","Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam."
COMPANY_TEXT_18,business,事業内容,Hoạt động kinh doanh
COMPANY_TEXT_19,software development,ソフトウェア開発,Phát triển phần mềm
COMPANY_TEXT_20,date of established,設立,Ngày thành lập
COMPANY_TEXT_21,23/1/2015,2015年1月23日,23/1/2015
COMPANY_TEXT_22,,執行体制,Thể chế thực hiện
COMPANY_TEXT_23,,代表取締役社長　佐藤 譲太郎,Tổng giám đốc Jotaro Stato
COMPANY_TEXT_24,,株主,Chủ đầu tư
COMPANY_TEXT_25,"Tribal Media House, Inc",株式会社トライバルメディアハウス,"Tribal Media House, Inc"
STAFF_TEXT_0_1,,趣味,Sở thích
STAFF_TEXT_0_2,,出身,Quê quán
STAFF_TEXT_0_3,,,
STAFF_TEXT_0_4,,,
STAFF_TEXT_1_1,,,
STAFF_TEXT_1_2,,代表取締役社長,Tổng giám đốc
STAFF_TEXT_1_3,Jotaro Sato,佐藤　譲太郎,Jotaro Sato
STAFF_TEXT_1_4,reading a book / golf / snow bord,読書／ゴルフ／スノーボード,Đọc sách / Chơi gôn / trượt tuyết
STAFF_TEXT_1_5,Kanagawa/Japan,神奈川県/日本,Kanagawa/ Nhật Bản
STAFF_TEXT_1_6,,,
STAFF_TEXT_2_1,,,
STAFF_TEXT_2_2,admin,総務,Hành chính- Nhân sự
STAFF_TEXT_2_3,Vu Hoai Phuong,Vu Hoai Phuong,Vũ Hoài Phương
STAFF_TEXT_2_4,Traveling / Shopping / Listening music / ...,旅行 / 買い物 / 音楽を聴く / ...,"Du lịch, mua sắm, nghe nhạc,..."
STAFF_TEXT_2_5,Nam Dinh,Nam Dinh,Nam Định
STAFF_TEXT_2_6,Haste Makes Waste,急いては事をし損ずる,Dục tốc bất đạt
STAFF_TEXT_3_1,,,
STAFF_TEXT_3_2,communicator,通訳,Phiên dịch
STAFF_TEXT_3_3,Mai Hương Sơn,Mai Hương Sơn,Mai Hương Sơn
STAFF_TEXT_3_4,film / reading book / traveling / black / ...,映画 / 読書 / 旅行 / 黒 /...,"Xem phim, đọc sách, du lịch, màu đen,..."
STAFF_TEXT_3_5,Phu Tho,フー・ト,Phú Thọ
STAFF_TEXT_3_6,Happiness is not destination. It's the method of life.,Happiness is not destination. It's the method of life.,Happiness is not destination. It's the method of life.
STAFF_TEXT_4_1,,,
STAFF_TEXT_4_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_4_3,Nguyễn Hữu Chí,Nguyễn Hữu Chí,Nguyễn Hữu Chí
STAFF_TEXT_4_4,,文化、芸術、テクノロジを調べる、魚釣り、スポーツ," tìm hiểu  văn hoá, nghệ thuật ,công nghệ , Câu cá , chơi thể thao."
STAFF_TEXT_4_5,,Hà Nội,Hà Nội
STAFF_TEXT_4_6,,歓迎られるところへ行って、我慢する場所では行かない！,"Hãy đến những nơi bạn được chào đón, không nên tới những nơi bạn phải chịu đựng."
STAFF_TEXT_5_1,,,
STAFF_TEXT_5_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_5_3,Quangg Minh,Trần Quang Minh,Trần Quang Minh
STAFF_TEXT_5_4,"Chatting, Playing game, Music",チャット、ゲーム、音楽を聴く," Tán phét, chơi game và nghe nhạc"
STAFF_TEXT_5_5,,ハノイ,Hà Nội
STAFF_TEXT_5_6,Work hard and play hard,"Work hard, Play hard","Làm hết sức, chơi hết mình"
STAFF_TEXT_6_1,,,
STAFF_TEXT_6_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_6_3,Quy Pv,Quy Pv,Quy Pv
STAFF_TEXT_6_4,,ベトナムのトラ焼き、フード、冬に家に居る、雨降り時に寝る。,"Bánh rán, bánh nướng, thích ở nhà vào mùa đông và nằm ngủ khi trời đang mưa."
STAFF_TEXT_6_5,,Quang Binh,Quảng Bình
STAFF_TEXT_6_6,Life is waiting,人生とは待つことである,Cuộc sống là phải chờ đợi
STAFF_TEXT_7_1,,,
STAFF_TEXT_7_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_7_3,,Dinh Thi Nhinh ,Dinh Thi Nhinh 
STAFF_TEXT_7_4,"eat barbecue, watch cartoon, sleep when have free time, ...",BBQ / アニメ / 昼寝 / ...,"ăn đồ nướng, xem phim hoạt hình, ngủ khi có thời gian dảnh"
STAFF_TEXT_7_5,Ninh Binh,Ninh Binh,Ninh Binh
STAFF_TEXT_7_6,Let’s act as you talk and think,Let’s act as you talk and think,Hãy hành động theo những gì bạn nói và nghĩ
STAFF_TEXT_8_1,,,
STAFF_TEXT_8_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_8_3,,Nguyen Viet Duc,Nguyen Viet Duc
STAFF_TEXT_8_4,"Travelling with motorbikes, America tv series.",旅行 / バイク /  洋画TVシリーズ,"Đi phượt bằng xe máy, phim truyền hình Mỹ."
STAFF_TEXT_8_5,Ha Noi,ハノイ,Hà Nội
STAFF_TEXT_8_6,"When you want to give up, remember why you started.",もしギブアップした時は、なぜあなたが始めたのかを思い出そう,"Khi bạn từ bỏ, hãy nhớ tại sao mình bắt đầu."
STAFF_TEXT_9_1,,,
STAFF_TEXT_9_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_9_3,,,
STAFF_TEXT_9_4,,,
STAFF_TEXT_9_5,,,
STAFF_TEXT_9_6,,,
STAFF_TEXT_10_1,,,
STAFF_TEXT_10_2,engineer,エンジニア,Kỹ sư
STAFF_TEXT_10_3,,,
STAFF_TEXT_10_4,,,
STAFF_TEXT_10_5,,,
STAFF_TEXT_10_6,,,
PRODUCT_TEXT_1,,,
PRODUCT_TEXT_2,cocosquare,cocosquare（ココスクウェア）,cocosquare
PRODUCT_TEXT_3,"cocosquare is a brand community platform that is built on the concept of Co-creation with customers.
It provides a community which has the feature to support a relationship-building and mutual understanding by the long-term dialogue with customers not only a characteristic feature of the community panel such as MROC(Marketing Research Online Community), questionnaires and voting  as ASP(Application Service Provider).",「cocosquare（ココスクウェア）」は、共創（Co-creation）をコンセプトとして、企業と顧客が様々な体験を通じた中長期的な関係構築を実現するコミュニティプラットフォームをASP（SaaS）で提供しています。,"Cocosquare (Nền tảng đồng sáng tạo Marketing) có tính năng chủ yếu là thực hiện điều tra về chất (Dùng MROC và thảo luận) và điều tra về lượng (dùng phiếu khảo sát và bầu chọn). Đồng thời, tăng cường nâng cao sự tham gia đóng góp của người sử dụng bằng cách hỗ trợ thiết lập mối quan hệ và sự hiểu biết lẫn nhau giữa người sử dụng và doanh nghiệp (thương hiệu) thông qua việc đối thoại trung và dài kỳ."
PRODUCT_TEXT_4,http://cocosquare.tribalmedia.co.jp,http://cocosquare.tribalmedia.co.jp,http://cocosquare.tribalmedia.co.jp
PRODUCT_TEXT_5,,,
PRODUCT_TEXT_6,Engage Manager,Engage Manager（エンゲージマネージャー）,Engage Manager
PRODUCT_TEXT_7,"Engage Manger is social media integrated management tool that was born in order to simplify the operation of social media account. 
It can be managed various social media account such as Facebook, Twitter, google+, YouTube and mixi and be strong support for social media personnel by strategic decisions from day-to-day operations.",Engage Managerは、ソーシャルメディアの運用業務をシンプルにするために生まれたソーシャルメディア統合管理ツールです。企業のあらゆるソーシャルメディアアカウントを一元的に管理し、日々の運用から戦略的な意思決定まで、ソーシャルメディアに携わる方々を強力にサポートします。,"Là công cụ quản lý tổng hợp tất cả phương tiện truyền thông xã hội mới được tạo lập trong nước, nhằm đơn giản hoá nghiệp vụ vận hành quản lý phương tiện truyền thông. Hỗ trợ mạnh mẽ người hoạt động trong lĩnh vực phương tiện truyền thông xã hội từ việc quản lý chung tất cả các tài khoản đăng nhập phương tiện truyền thông xã hội trong doanh nghiệp, vận hành quản lý hàng ngày đến những quyết định mang tính chiến lược."
PRODUCT_TEXT_8,http://engagemanager.tribalmedia.co.jp,http://engagemanager.tribalmedia.co.jp,http://engagemanager.tribalmedia.co.jp
PRODUCT_TEXT_9,,,
PRODUCT_TEXT_10,Boom Research,ブームリサーチ（Boom Research）,Boom Research
PRODUCT_TEXT_11,"Boom Research is an analysis tool that can be supported in various departments such as marketing, advertising and public relations. It has collected a word‐of‐mouth communication data of various site such as Blogs, Twitter and Q&A site in Japan. And also it can be used easily without expert analysis knowledge.",Boom Researchは、国内のあらゆるクチコミデータを収集し、直感的な簡単操作でプロの分析を行うことができるクチコミ分析ツールです。クリックひとつで本格的なレポートを作成でき、効果測定からリスク管理まで、広報・宣伝・マーケティングに携わる方々を強力にサポートします。,"Là công cụ phân tích phương thức truyền miệng, có thể thu thập tất cả các dữ liệu truyền miệng trong nước, tiến hành phân tích chuyên nghiệp bằng các thao tác đơn giản trực quan. Hỗ trợ mạnh mẽ cho người hoạt động trong các lĩnh vực quan hệ công chúng, tuyên truyền, marketing từ việc có thể lập báo cáo một cách chuyên nghiệp chỉ bằng một cái click chuột, tính toán hiệu quả đến quản lý rủi ro. "
PRODUCT_TEXT_12,http://boomresearch.tribalmedia.co.jp,http://boomresearch.tribalmedia.co.jp,http://boomresearch.tribalmedia.co.jp
CONTACT_TEXT_1,thank you for your contact.,お問い合わせありがとうございます。,Cảm ơn bạn đã liên hệ với chúng tôi!
CONTACT_TEXT_2,name,名前,Họ tên
CONTACT_TEXT_3,your name,山田　太郎,Họ tên
CONTACT_TEXT_4,e-mail,メールアドレス,e-mail
CONTACT_TEXT_5,sample@tmh-techlab.vn,sample@tmh-techlab.vn,sample@tmh-techlab.vn
CONTACT_TEXT_6,phone number,電話番号,Điện thoại
CONTACT_TEXT_7,012-335-6789,012-335-6789,012-335-6789
CONTACT_TEXT_8,university/company name,学校/会社名,Tên trường/ Tên công ty
CONTACT_TEXT_9,,,
CONTACT_TEXT_10,position,役職,Vị trí
CONTACT_TEXT_11,,,
CONTACT_TEXT_12,division,部署,Tên bộ phận
CONTACT_TEXT_13,,,
CONTACT_TEXT_14,type of contact,お問い合わせ種別,Loại liên lạc
CONTACT_TEXT_15,type of contact,お問い合わせ種別,Loại liên lạc
CONTACT_TEXT_15_1,recruit,採用,Tuyển dụng
CONTACT_TEXT_15_2,other,その他,Khác
CONTACT_TEXT_16,note,備考,Lời nhắn
CONTACT_TEXT_17,"Please,input your message.",テキストを入力してください。,Hãy nhập văn bản vào đây.
CONTACT_TEXT_18,send,送信,Gửi
ACCESS_TEXT_1,,,
ACCESS_TEXT_2,Office,オフィス,Văn phòng
ACCESS_TEXT_3,"Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam.","Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam.","Indochina Plaza Hanoi, 241 Xuan Thuy Str., Cau Giay Dist., Hanoi, Vietnam."
ACCESS_TEXT_4,info@tmh-techlab.vn,info@tmh-techlab.vn,info@tmh-techlab.vn
ACCESS_TEXT_5,＋84-(0)4-3256-5182,＋84-(0)4-3256-5182,＋84-(0)4-3256-5182
ACCESS_TEXT_6,Working hours,営業時間,Thời gian làm việc
ACCESS_TEXT_7,Monday-Friday: 8h30 〜 17h30,月〜金曜日：8:30 〜 17:30,Thứ hai - Thứ sáu: 8:30 ~ 17:30
ACCESS_TEXT_8,"Saturday, Sunday, Holiday: Close",土日祝日休み,"Thứ bảy, Chủ nhật, các ngày lễ: Nghỉ"
ERROR_TEXT_1,error,エラー,Lỗi
ERROR_TEXT_2,,エラーが発生しました。,Đã phát sinh lỗi.
ERROR_TEXT_3,back to home,ホームへ戻る,Quay về Trang chủ
THANKS_R_TEXT_1,thank you,採用の応募ありがとうございます。,Cảm ơn bạn đã ứng tuyển.
THANKS_R_TEXT_2,,"この後自動返信メールをお送りしております。
メールの返信がない場合は通常の処理が出来ておりませんので、 
再度フォームよりお問合せいただくか、info@tmh-techlab.vn までご連絡ください。

応募内容を確認し折り返し連絡いたしますので、今しばらくお待ち下さい。
その他、何かご不明な点等ございましたら、お気軽にお問い合わせ下さい。","Sau đây chúng tôi sẽ gửi email trả lời tự động.
Trường hợp không nhận được email trả lời, do không thể xử lý thông thường. vui lòng thực hiện lại một lần nữa theo mẫu và liên hệ tới địa chỉ info@tmh-techlab.vn.
Chúng tôi sẽ liên hệ lại sau khi xác nhận nội dung ứng tuyển.
Ngoài ra, nếu có thắc mắc vui lòng liên hệ với chúng tồi."
THANKS_R_TEXT_3,back to home,ホームへ戻る,Quay về Trang chủ
THANKS_C_TEXT_1,thank you,お問合せありがとうございます。,Cảm ơn bạn đã liên hệ với chúng tôi.
THANKS_C_TEXT_2,,"この後自動返信メールをお送りしております。
メールの返信がない場合は通常の処理が出来ておりませんので、 
再度フォームよりお問合せいただくか、info@tmh-techlab.vn までご連絡ください。
 
お問い合わせ内容を確認し折り返し連絡いたしますので、今しばらくお待ち下さい。
その他、何かご不明な点等ございましたら、お気軽にお問い合わせ下さい。","Sau đây chúng tôi sẽ gửi email trả lời tự động.
Trường hợp không nhận được email trả lời, do không thể xử lý thông thường. vui lòng thực hiện lại một lần nữa theo mẫu và liên hệ tới địa chỉ info@tmh-techlab.vn.
Chúng tôi sẽ liên hệ lại sau khi xác nhận nội dung ứng tuyển.
Ngoài ra, nếu có thắc mắc vui lòng liên hệ với chúng tồi."
THANKS_C_TEXT_3,back to home,ホームへ戻る,Quay về Trang chủ
RECRUIT_TEXT_1,,,
RECRUIT_TEXT_2,Made in Tribal Media House,Made in Tribal Media House,Made in Tribal Media House
RECRUIT_TEXT_3,,メッセージ,Thông điệp
RECRUIT_TEXT_4,,"「Tribal Media House Technology Lab」は、日本およびグローバル市場へのマーケティング活動を支援するデジタルマーケティングパートナー／ソリューションベンダーである「トライバルメディアハウス」の子会社として、システム開発力の強化、自社プロダクトの改良および新規プロダクトの開発スピード向上を目的として1月に設立した新しい会社です。

日系の会社で仕事の進め方や文化を学びたい方、日本だけでなく世界に通用する技術を身に付けたい方、会社の設立メンバーとして幅広い経験を積み重ねたい方、将来リーダーやマネージャーとして活躍したい方の応募を待っています。","""Tribal Media House Technology Lab"" là công ty mới được thành lập tháng 01/2015 với mục đích tăng cường phát triển hệ thống, cải tiến các dự án từ công ty mẹ và nâng cao tốc độ phát triển dự án mới, trực thuộc công  ty Tribal Media House (Là công ty chuyên cung cấp các giải pháp/ đối tác về marketing kỹ thuật số hỗ trợ các hoạt động marketing tại Nhật Bản và trên thị trường thế giới). Chúng tôi chào đón những ứng viên muốn phát triển sự nghiệp và học hỏi văn hoá tại doanh nghiệp Nhật Bản, ứng viên muốn tìm hiểu, nắm vững về các kỹ thuật không chỉ sử dụng tại Nhật Bản mà trên toàn thế giới, ứng viên muốn mở rộng kinh nghiệm của bản thân với vai trò là thành viên thiết lập công ty, ứng viên mong muốn hoạt động nghiệp vụ với vai trò như nhà lãnh đạo, nhà quản lý trong tương lai."
RECRUIT_TEXT_5,,,
RECRUIT_TEXT_6,,,
RECRUIT_TEXT_7,,,
RECRUIT_TEXT_8,,私達の開発環境,Môi trường phát triển của chúng tôi
RECRUIT_TEXT_9,,エンジニアの一日,Một ngày làm việc của Kỹ sư lập trình
RECRUIT_TEXT_10,,求める人物像,Đối tượng tuyển dụng
RECRUIT_TEXT_11,,募集要項,Yêu cầu tuyển dụng
RECRUIT_TEXT_12,,職種,Vị trí công việc
RECRUIT_TEXT_13,,エンジニア,Kỹ sư
RECRUIT_TEXT_14,,必須スキル,Kỹ năng cần thiết
RECRUIT_TEXT_15,,"PHP を使用した1年間以上の webアプリケーション開発経験
HTML/CSS","Có kinh nghiệm lập trình ứng dụng web sử dụng PHP trên 1 năm
HTML/CSS"
RECRUIT_TEXT_16,,その他スキル,Kỹ năng khác
RECRUIT_TEXT_17,,"CakePHP を使用した開発経験
JavaScript (jQuery や AngularJs,NodeJs) などを使用した開発経験
Facebook や Twitter などの API を使用した開発経験
MySQL や PostgreSQL を使用したデータベース設計
Linuxサーバの設定や構築などの経験","Có kinh nghiệm lập trình sử dụng Cake PHP 
Có kinh nghiệm lập trình sử dụng JavaScript (jQuery và AngularJs, NodeJs)
Có kinh nghiệm lập trình sử dụng API như của Facebook, Twitter,..
Thiết kế cơ sở dữ liệu sử dụng MySQL, PostgreSQL 
Có kinh nghiệm tạo Linux server,.."
RECRUIT_TEXT_18,,応募フォーム,Mẫu ứng tuyển
RECRUIT_TEXT_19,,名前 *,Họ tên *
RECRUIT_TEXT_20,,山田　太郎,Yamada Taro
RECRUIT_TEXT_21,,年齢 *,Tuổi *
RECRUIT_TEXT_22,,,
RECRUIT_TEXT_23,,学校/会社名,Tên trường/ Tên công ty
RECRUIT_TEXT_24,,,
RECRUIT_TEXT_25,,メールアドレス,E-mail
RECRUIT_TEXT_26,recruit@tmh-techlab.vn,recruit@tmh-techlab.vn,recruit@tmh-techlab.vn
RECRUIT_TEXT_27,,電話番号,Điện thoại
RECRUIT_TEXT_28,012-345-6789,012-345-6789,012-345-6789
RECRUIT_TEXT_29,,備考,Lời nhắn
RECRUIT_TEXT_30,,テキストを入力してください。,Hãy nhập văn bản vào đây.
RECRUIT_TEXT_31,,履歴書アップロード,Tải hồ sơ
RECRUIT_TEXT_32,,山田　太郎.pdf,Yamada Taro.pdf
RECRUIT_TEXT_33,,送信,Gửi
RECRUIT_TEXT_50_1,,開発サイクル,Chu trình phát triển
RECRUIT_TEXT_50_2,,"私達はアジャイル開発を取り入れています。
開発工程を小さく分割しチケット化、開発・テスト・デプロイを繰り返しながら開発します。この繰り返し（イテレーション）を繰り返し行うことで開発の精度を上げていきます。","Chúng tôi áp dụng theo phương thức Ajail deverlopment.
Trong quá trình phát triển chúng tôi phân công công việc bằng ticket, vừa trao đổi công việc qua chu trình Dev- Test- Deploy vừa phát triển. Bằng chu trình công việc lặp đi lặp lai như vậy, chúng tôi đang nâng cao độ chính xác trong công việc."
RECRUIT_50_3,,1. チケット,1. Ticket
RECRUIT_50_4,,Backlog を使ってタスクのチケットを発行します。チケットの担当者はこのチケットを元に開発を進めていきます。,Phát hành ticket công việc bằng Backlog. Người thực hiện sẽ tiến hành công việc dựa theo những ticket này.
RECRUIT_50_5,,2. 開発&リファクタリング,2. Phát triển và cải thiện
RECRUIT_50_6,,Eclipse などの IDE を使い開発を進めていきます。開発とリファクタリングを繰り返しながらソースコードの質を高めて行きます。開発が完了したものは Git でコミット＆プッシュします。,Tiến hành phát triển sử dụng IDE như Eclipse. Vừa tiền hành phát triển và tái cấu trúc mã nguồn vừa nâng cao chất lượng mã nguồn. Phần hoàn thành phát triển sẽ được đẩy lên Git.
RECRUIT_50_7,,3. テスト,3. Kiểm tra
RECRUIT_50_8,,PHPUnit や Selenium などでテストを自動化して行きます。,"Tiến hành kiểm tra tự động bằng PHPUnit, Selenium,..."
RECRUIT_50_9,,4. デプロイ,4. Triển khai
RECRUIT_50_10,,Jenkins でテストの実行やステージングや本番サーバへアップロードをします。,"Thực hiện kiểm tra bằng Jenkins, upload lên server stage và product."
RECRUIT_50_11,,ツール,Công cụ
RECRUIT_50_12,,"IT テクノロジーが日々進化する中で、開発の環境も日々変化しています。
新しい技術を積極的にキャッチアップしトライすることで、変化する開発に柔軟に対応していきます。
私達の利用しているツールの一部をご紹介します。",Công nghệ thông tin ngày càng phát triển thì môi trường phát triển cũng biến đổi theo. Chúng tôi sẽ đối ứng linh hoạt với sự thay đổi đó bằng cách tích cực nắm bắt các kỹ thuật mới. Chúng tôi xin giới thiệu một số công cụ chúng tôi đang sử dụng.
RECRUIT_50_13,,"CSS
javascript
AngularJs","CSS
javascript
AngularJs"
RECRUIT_50_14,,"memcached
vagrant
backlog
selenium","memcached
vagrant
backlog
selenium"
RECRUIT_50_15,,"bower
grunt
compass","bower
grunt
compass"
RECRUIT_60_1,8:30,8:30,8:30
RECRUIT_60_2,11:55,11:55,11:55
RECRUIT_60_3,13:00,13:00,13:00
RECRUIT_60_4,,,
RECRUIT_60_5,,出社,Đến công ty
RECRUIT_60_6,,全体朝礼&日本語の勉強会,Họp buổi sáng và học tiếng Nhật
RECRUIT_60_7,,開発ミーティング,Họp nhóm Dev
RECRUIT_60_8,,開発,Thực hiện công việc
RECRUIT_60_9,,お昼休み,Nghỉ trưa
RECRUIT_60_10,,午後の終業開始,Bắt đầu công việc buổi chiều
RECRUIT_60_11,,フルーツタイム,Nghỉ giữa giờ
RECRUIT_60_12,,5:30,5:30
